Station Id,Station Name,Frequency,Average of Distance,Average of Trip Duration (s),Latitude,Longitude
7000,Fort York  Blvd / Capreol Crt,3964,1.450334883,963.8173562,43.639832,-79.395954
7169,Front St W / Bay St (North Side),3921,,1412.673298,43.646162,-79.378912
7161,Beverly St / College St W,3909,1.326257677,598.3832182,43.6575,-79.39527778
7078,College St W / Major St,3905,1.652925555,839.5613316,43.6576,-79.4032
7002,St George St / Bloor St W,3887,1.659907571,685.3115513,43.667333,-79.399429
7170,Spadina Ave / Willcocks St,3877,1.605026017,800.9295847,43.6616667,-79.40138889
7068,Dockside Dr / Queens Quay E (Sugar Beach),3812,,1205.794858,0,0
7113,Parliament St / Aberdeen Ave,3768,1.787425577,868.4065817,43.665278,-79.368333
7121,Jarvis St / Dundas St E,3753,1.229578758,794.9973355,43.657266,-79.374756
7073,Bremner Blvd / Spadina Ave,3749,1.481687726,774.6463057,43.640114,-79.393249
7096,Boston Ave / Queen St E,3728,2.881295218,2076.506974,43.661508,-79.338931
7164,Victoria St / Gould St (Ryerson University),3706,1.384212597,699.4171614,43.657424,-79.381019
7048,Front St / Yonge St (Hockey Hall of Fame),3703,1.520799346,902.7272482,43.646144,-79.377962
7061,Bloor St / Brunswick Ave,3661,1.755335292,758.3307839,43.6662942,-79.4066433
7167,Queen St E / George St (Moss Park),3642,1.415673701,1844.183416,43.6544444,-79.37111111
7211,Fort York Blvd / Garrison Rd,3606,1.73771831,1168.99279,43.6375,-79.40611111
7063,Queens Park / Bloor St W,3601,1.849160675,910.4843099,43.668456,-79.393899
7171,Ontario Place Blvd / Remembrance Dr,3571,1.744195177,1942.612714,43.6322445,-79.4108105
7051,Wellesley St E / Yonge St Green P,3569,1.50742035,671.4166433,43.66506,-79.38357
7108,Front St E / Cherry St,3491,1.654833112,1125.154683,43.652686,-79.358395
7175,HTO Park (Queen's Quay W),3476,1.459827155,1715.233314,43.63796,-79.387502
7062,University Ave / College St,3436,1.500889472,627.2610594,43.659226,-79.390213
7199,College St / Markham St,3335,,955.4566717,43.65638889,-79.40916667
7135,Hanna Ave / Liberty St,3327,2.099938682,1345.153291,43.638333,-79.419722
7107,Cherry St / Distillery Ln,3318,2.134340139,1606.974985,43.650279,-79.356832
7124,Dundas St E / Broadview Ave,3289,2.354426305,1075.307692,43.662365,-79.351104
7136,Queen St W / Close Ave,3249,2.861349406,1750.325331,43.640634,-79.435841
7154,Bathurst Subway Station,3162,1.791889875,851.6429475,43.6666667,-79.41166667
7140,Macpherson Ave / Spadina Rd,3142,2.4034036,1049.056015,43.675791,-79.40698
7123,424 Wellington St. W,3136,1.414394201,741.8022959,43.643834,-79.396649
7103,Jimmie Simpson Park (Queen St E),3106,2.414698155,1938.847714,43.6605603,-79.3437663
7155,Bathurst St / Lennox St,3053,1.952960407,831.9528333,43.663808,-79.410491
7260,Spadina Ave / Adelaide St W,3027,,858.9299637,43.646688,-79.395267
7095,Danforth Ave / Ellerbeck St,2974,2.649814412,1181.493275,43.677076,-79.35667
7143,Kendal Ave / Bernard Ave,2868,1.744529301,762.4417713,43.671513,-79.408317
7169,Front St / Bay St (North Side),2852,1.60030572,856.4347826,43.646162,-79.378912
7191,Central Tech  (Harbord St),2844,1.798430668,814.6979606,43.661975,-79.407896
7148,King St W / Joe Shuster Way,2773,2.184206467,1206.269744,43.639444,-79.423611
7111,King St W / Douro St,2734,1.774117493,1116.884784,43.640885,-79.416379
7146,Christie St / Benson Ave (Wychwood Barns),2718,3.219165464,1363.724798,43.68,-79.425
7071,161 Bleecker St (South of Wellesley),2715,2.609272352,1077.107182,43.666233,-79.373327
7204,College St / Crawford St,2647,,1077.623725,43.655,-79.418889
7192,Harbord St / Clinton St,2639,1.958608635,888.6422887,43.660414,-79.415646
7132,Kendal Ave / Spadina Rd,2636,1.734049209,787.5804249,43.670318,-79.405181
7112,Liberty St / Fraser Ave Green P,2634,1.968371929,1164.951784,43.637981,-79.424146
7206,Claremont St / Dundas St W,2632,1.768674809,904.618541,43.651281,-79.411717
7208,80 Clinton St (North of College),2604,1.944249909,823.2415515,43.656296,-79.414663
7133,Summerhill Station,2573,2.692547613,1274.369607,43.681944,-79.390556
7074,Spadina Ave / Sussex Ave,2571,2.176922872,728.2648775,43.6500392,-79.3733541
7188,Exhibition GO (Atlantic Ave),2552,1.575878538,897.7711599,43.63666667,-79.41972222
7156,Salem Ave / Bloor St W,2530,2.493713119,1195.970356,43.6608333,-79.43166667
7098,Riverdale Park South (Broadview Ave),2489,2.250974011,2145.389715,43.667819,-79.35347
7199,College St W / Markham St,2415,1.63264592,711.9204969,43.65638889,-79.40916667
7269,Toronto Eaton Centre (Yonge St),2394,,1442.393066,43.655431,-79.380653
7195,Ulster St / Bathurst St,2321,1.629535359,803.0280052,43.66,-79.40888889
7023,College St / Borden St,2310,,877.6575758,43.6571,-79.4056
7070,25 York St (ACC/Union Station South),2255,1.478637291,854.2949002,43.643667,-79.380414
7131,Taddle Creek Park,2240,1.90039686,832.815625,43.66986,-79.398443
7149,Yarmouth Rd / Christie St,2221,1.950836008,920.9252589,43.67,-79.42083333
7139,Glen Edyth Dr / Davenport Rd,2213,2.404477851,1074.676005,43.677778,-79.405556
7119,Sumach St / Carlton St. (Riverdale Farm),2208,1.880197594,998.1956522,43.665867,-79.362506
7127,Bay St / Davenport Rd,2203,1.983403866,995.8488425,43.672829,-79.390592
7106,Mill St / Tannery Rd,2176,1.772509087,1334.766544,43.652219,-79.354455
7281,Charles St W / Balmuto St - SMART,2157,,638.5456653,43.668427,-79.38725
7120,Gerrard St E / River St,2155,2.004862165,1003.452436,43.663993,-79.358534
7105,Queen St E / Sackville St,2150,1.758682967,882.2660465,43.6561111,-79.36138889
7288,Humber Bay Shores Park West,2097,,3665.251311,43.6224434,-79.480284
7023,College St W / Borden St,2096,1.70102367,729.2094466,43.6571,-79.4056
7097,Riverdale Park North (Broadview Ave),2095,2.421161327,1171.269212,43.671172,-79.354704
7093,Danforth Ave / Gough Ave,2090,2.815309743,1343.339234,43.678401,-79.346289
7198,Queen St W / Cowan Ave,2071,2.711812559,1512.105263,43.6409,-79.432837
7253,John St  / Mercer St - SMART,2068,,998.0599613,43.6461,-79.3895
7248,Baldwin Ave / Spadina Ave - SMART,2057,,731.1696646,43.654905,-79.398448
7216,Wellington St W / Stafford St,2041,1.745529056,839.5693288,43.641281,-79.409339
7072,Queen St W / Shaw St,2010,2.05452126,1085.5199,43.636611,-79.400042
7257,Dundas St W / St. Patrick St,1995,,1339.515288,43.6545174,-79.3895315
7182,Sterling Rd / Dundas St W,1987,2.265248102,1177.028686,43.65083333,-79.44305556
7251,The Royal Ontario Museum (Bloor St Entrance),1964,,1139.284623,43.668561,-79.394403
7250,St. George St / Russell St - SMART,1954,,517.8065507,43.660296,-79.397107
7174,Bloor St W / Dundas St W,1919,3.179509478,2154.499218,43.6563889,-79.45166667
7275,Queen St W / James St,1905,,963.0178478,43.652276,-79.380701
7235,Bay St / College St (West Side) - SMART,1904,,586.0793067,43.660087,-79.385655
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),1870,2.410711514,1414.425134,43.6555556,-79.43361111
7282,Adelaide St W / Bay St - SMART,1837,,785.8062058,43.650152,-79.379856
7276,Bloor St W / Balmuto St,1827,,861.6267105,43.669903,-79.387802
7173,Cariboo St / Rail Path,1760,3.123063451,1500.928409,43.66666667,-79.45833333
7273,Bay St / Charles St - SMART,1743,,692.9300057,43.668153,-79.38891
7157,Dufferin St / Bloor St,1739,2.741829863,2265.028752,43.66083333,-79.43583333
7109,Seaton St / Dundas St E,1729,1.417989003,666.5228456,43.658777,-79.369596
7123,424 Wellington St W,1717,,862.6202679,43.643834,-79.396649
7196,Roxton Rd / Harbord St,1688,2.235778089,897.8975118,43.65905,-79.422988
7151,Essex St / Christie St,1673,2.0763302,1306.573222,43.6686111,-79.42027778
7184,Ossington Ave / College St,1659,,1106.857746,43.6544915,-79.422634
7129,Davenport Rd / Avenue Rd,1648,2.143587568,977.5770631,43.674991,-79.396273
7209,Ossington Ave / Harrison St,1642,2.04289523,1119.468331,43.65111111,-79.42138889
7204,College St W / Crawford St,1602,1.920574976,831.1317104,43.655,-79.418889
7144,Palmerston Ave / Vermont Ave,1601,2.249560876,953.1686446,43.671389,-79.416389
7283,Front St W / Bay St (South Side),1585,,1038.916088,43.64595,-79.378761
7134,Marlborough Ave / Yonge St,1582,2.397158738,1226.220607,43.68,-79.391111
7128,Yonge St / Aylmer Ave,1561,2.140678028,1231.103139,43.675492,-79.388858
7252,Robert St / Bloor St W - SMART,1487,,616.3436449,43.665846,-79.404998
7226,Lakeshore Blvd W / The Boulevard Club,1484,,1735.082884,43.636731,-79.444966
7138,Davenport Rd / Christie St,1441,2.664818628,1432.880638,43.675278,-79.423889
7203,Bathurst St / Queens Quay W,1422,1.981434277,1204.194796,43.635492,-79.398253
