Date,Quarter,Month,Frequency,Day of Week,trip_duration_seconds,Distance,Ave_duration,Ave_disdance
2017-06-11,2,June,4687,Sun,7315381,562304.0,1560.7810966503093,119.97098357158097
2017-06-12,2,June,5158,Mon,4678525,326310.0,907.0424583171772,63.26289259402869
2017-06-13,2,June,5184,Tue,4467888,365563.0,861.8611111111111,70.51755401234568
2017-06-14,2,June,6006,Wed,5445627,400360.0,906.6978021978022,66.66000666000666
2017-06-15,2,June,5148,Thu,4042976,235653.0,785.3488733488733,45.77564102564103
2017-06-16,2,June,5493,Fri,5049597,333089.0,919.2785363189514,60.63881303477153
2017-06-17,2,June,4384,Sat,5202223,383287.0,1186.6384580291972,87.42860401459853
2017-06-18,2,June,3728,Sun,4435818,356815.0,1189.8653433476395,95.71217811158799
2017-06-19,2,June,5414,Mon,4808695,312975.0,888.1963428149243,57.80845954931659
2017-06-20,2,June,5356,Tue,4563664,301408.0,852.0657206870799,56.274831964152355
2017-06-21,2,June,5595,Wed,5280550,410131.0,943.7980339588919,73.30312779267203
2017-06-22,2,June,5484,Thu,4593920,378294.0,837.6951130561633,68.98140043763676
2017-06-23,2,June,3841,Fri,3134547,239154.0,816.0757615204374,62.26347305389221
2017-06-24,2,June,5887,Sat,8579980,551031.0,1457.4452182775608,93.6013249532869
2017-06-25,2,June,4186,Sun,4786085,371474.0,1143.355231724797,88.74199713330148
2017-06-26,2,June,4593,Mon,3956591,293478.0,861.4393642499456,63.896799477465706
2017-06-27,2,June,4766,Tue,3877035,194324.0,813.4777591271506,40.772975241292485
2017-06-28,2,June,5917,Wed,5365554,310156.0,906.8031096839615,52.41777928004056
2017-06-29,2,June,4694,Thu,3899384,230725.0,830.7166595654027,49.153174265019175
2017-06-30,2,June,4857,Fri,4436736,211701.0,913.4725138974676,43.586781964175415
2017-07-01,3,July,3413,Sat,6034912,3429745.0,1768.2133020802812,1004.9062408438324
2017-07-02,3,July,3929,Sun,6989649,3167398.0,1778.989310257063,806.1588190379231
2017-07-03,3,July,4389,Mon,8368427,3088646.0,1906.6819321029848,703.7243107769424
2017-07-04,3,July,4740,Tue,5738457,3991581.0,1210.6449367088608,842.1056962025316
2017-07-05,3,July,6431,Wed,7418353,3684888.0,1153.5302441299953,572.9883377390763
2017-07-06,3,July,5067,Thu,7757499,2689755.0,1530.984606275903,530.837773830669
2017-07-07,3,July,4350,Fri,4343217,1903484.0,998.4406896551724,437.5825287356322
2017-07-08,3,July,4556,Sat,7966200,2089265.0,1748.5074626865671,458.57440737489026
2017-07-09,3,July,3655,Sun,5312783,1263843.0,1453.565800273598,345.7846785225718
2017-07-10,3,July,4482,Mon,4456915,1456118.0,994.4031682284694,324.88130298973675
2017-07-11,3,July,4952,Tue,5438991,1653614.0,1098.3422859450727,333.92851373182555
2017-07-12,3,July,6154,Wed,6002725,1460432.0,975.418427039324,237.31426714332142
2017-07-13,3,July,3731,Thu,3112116,826679.0,834.1238273921201,221.5703564727955
2017-07-14,3,July,4645,Fri,5058017,1049032.0,1088.9164693218515,225.8411194833154
2017-07-15,3,July,5142,Sat,8899249,1529469.0,1730.6979774406846,297.4463243873979
2017-07-16,3,July,3860,Sun,5477206,1019921.0,1418.9652849740933,264.2282383419689
2017-07-17,3,July,4531,Mon,4490209,931078.0,990.9973515780181,205.49062017214743
2017-07-18,3,July,4990,Tue,5565771,1029464.0,1115.3849699398797,206.30541082164328
2017-07-19,3,July,7517,Wed,8580345,1400147.0,1141.458693627777,186.26406811227884
2017-07-20,3,July,4614,Thu,4300377,740147.0,932.0279583875163,160.41330732553098
2017-07-21,3,July,4781,Fri,5462153,780663.0,1142.4708220037649,163.28445931813428
2017-07-22,3,July,3458,Sat,7024614,664270.0,2031.4094852515905,192.0965876229034
2017-07-23,3,July,3743,Sun,6529930,719249.0,1744.5711995725353,192.15842906759283
2017-07-24,3,July,4489,Mon,4235093,590660.0,943.4379594564491,131.57941635108043
2017-07-25,3,July,5031,Tue,10533133,752102.0,2093.645994832041,149.4935400516796
2017-07-26,3,July,7232,Wed,8029827,789691.0,1110.3189988938052,109.19399889380531
2017-07-27,3,July,4451,Thu,5069762,575461.0,1139.016400808807,129.28802516288474
2017-07-28,3,July,5270,Fri,6420637,591154.0,1218.3371916508538,112.17343453510436
2017-07-29,3,July,5151,Sat,9348502,751594.0,1814.8907008347894,145.91225004853428
2017-07-30,3,July,4568,Sun,7659368,690133.0,1676.7443082311734,151.07990367775832
2017-07-31,3,July,4910,Mon,5337677,576521.0,1087.1032586558044,117.41771894093687
2017-08-01,3,August,4850,Tue,5273372,543565.0,1087.2931958762886,112.07525773195876
2017-08-02,3,August,5207,Wed,6028361,592502.0,1157.7416938736317,113.7895141156136
2017-08-03,3,August,5122,Thu,12941353,574626.0,2526.621046466224,112.18781725888324
2017-08-04,3,August,3298,Fri,3327001,259489.0,1008.7935112189206,78.68071558520316
2017-08-05,3,August,3968,Sat,6743761,438611.0,1699.5365423387098,110.53704637096774
2017-08-06,3,August,4410,Sun,8982681,448083.0,2036.8891156462585,101.60612244897959
2017-08-07,3,August,3032,Mon,4703940,321863.0,1551.4313984168866,106.15534300791556
2017-08-08,3,August,5296,Tue,5545462,597774.0,1047.1038519637461,112.87273413897282
2017-08-09,3,August,5505,Wed,6509931,825117.0,1182.5487738419617,149.8850136239782
2017-08-10,3,August,5755,Thu,6215742,1047389.0,1080.0594265855777,181.99635099913118
2017-08-11,3,August,4927,Fri,4595382,776990.0,932.6937284351533,157.70042622285365
2017-08-12,3,August,4559,Sat,7041148,1066267.0,1544.4500987058566,233.8817723184909
2017-08-13,3,August,5248,Sun,9189857,1298295.0,1751.1160442073171,247.38852896341464
2017-08-14,3,August,5340,Mon,7735684,884638.0,1448.6299625468164,165.6625468164794
2017-08-15,3,August,5313,Tue,5672591,1046013.0,1067.6813476378693,196.8780350084698
2017-08-16,3,August,5938,Wed,6725165,1243735.0,1132.5639946109802,209.45351970360392
